part,gripper
data/train_data/images/image_1.png,data/raw/part_1/1.png
data/train_data/images/image_1_i.png,data/raw/part_1/1.png
data/train_data/images/image_1.png,data/raw/part_1/4.png
data/train_data/images/image_1_i.png,data/raw/part_1/4.png
data/train_data/images/image_2.png,data/raw/part_2/1.png
data/train_data/images/image_2_i.png,data/raw/part_2/1.png
data/train_data/images/image_3.png,data/raw/part_3/1.png
data/train_data/images/image_3_i.png,data/raw/part_3/1.png
data/train_data/images/image_3.png,data/raw/part_3/4.png
data/train_data/images/image_3_i.png,data/raw/part_3/4.png
data/train_data/images/image_4.png,data/raw/part_4/1.png
data/train_data/images/image_4_i.png,data/raw/part_4/1.png
data/train_data/images/image_4.png,data/raw/part_4/2.png
data/train_data/images/image_4_i.png,data/raw/part_4/2.png
data/train_data/images/image_6.png,data/raw/part_6/1.png
data/train_data/images/image_6_i.png,data/raw/part_6/1.png
data/train_data/images/image_6.png,data/raw/part_6/4.png
data/train_data/images/image_6_i.png,data/raw/part_6/4.png
data/train_data/images/image_6.png,data/raw/part_6/5.png
data/train_data/images/image_6_i.png,data/raw/part_6/5.png
data/train_data/images/image_7.png,data/raw/part_7/4.png
data/train_data/images/image_7_i.png,data/raw/part_7/4.png
data/train_data/images/image_7.png,data/raw/part_7/5.png
data/train_data/images/image_7_i.png,data/raw/part_7/5.png
data/train_data/images/image_8.png,data/raw/part_8/1.png
data/train_data/images/image_8_i.png,data/raw/part_8/1.png
data/train_data/images/image_8.png,data/raw/part_8/3.png
data/train_data/images/image_8_i.png,data/raw/part_8/3.png
data/train_data/images/image_8.png,data/raw/part_8/4.png
data/train_data/images/image_8_i.png,data/raw/part_8/4.png
data/train_data/images/image_9.png,data/raw/part_9/1.png
data/train_data/images/image_9_i.png,data/raw/part_9/1.png
data/train_data/images/image_10.png,data/raw/part_10/1.png
data/train_data/images/image_10_i.png,data/raw/part_10/1.png
data/train_data/images/image_11.png,data/raw/part_11/1.png
data/train_data/images/image_11_i.png,data/raw/part_11/1.png
data/train_data/images/image_12.png,data/raw/part_12/4.png
data/train_data/images/image_12_i.png,data/raw/part_12/4.png
data/train_data/images/image_13.png,data/raw/part_13/1.png
data/train_data/images/image_13_i.png,data/raw/part_13/1.png
data/train_data/images/image_13.png,data/raw/part_13/4.png
data/train_data/images/image_13_i.png,data/raw/part_13/4.png
data/train_data/images/image_14.png,data/raw/part_14/5.png
data/train_data/images/image_14_i.png,data/raw/part_14/5.png
data/train_data/images/image_15.png,data/raw/part_15/1.png
data/train_data/images/image_15_i.png,data/raw/part_15/1.png
data/train_data/images/image_15.png,data/raw/part_15/5.png
data/train_data/images/image_15_i.png,data/raw/part_15/5.png
data/train_data/images/image_16.png,data/raw/part_16/1.png
data/train_data/images/image_16_i.png,data/raw/part_16/1.png
data/train_data/images/image_16.png,data/raw/part_16/2.png
data/train_data/images/image_16_i.png,data/raw/part_16/2.png
data/train_data/images/image_17.png,data/raw/part_17/1.png
data/train_data/images/image_17_i.png,data/raw/part_17/1.png
data/train_data/images/image_18.png,data/raw/part_18/1.png
data/train_data/images/image_18_i.png,data/raw/part_18/1.png
data/train_data/images/image_18.png,data/raw/part_18/4.png
data/train_data/images/image_18_i.png,data/raw/part_18/4.png
data/train_data/images/image_19.png,data/raw/part_19/1.png
data/train_data/images/image_19_i.png,data/raw/part_19/1.png
data/train_data/images/image_19.png,data/raw/part_19/2.png
data/train_data/images/image_19_i.png,data/raw/part_19/2.png
data/train_data/images/image_20.png,data/raw/part_20/1.png
data/train_data/images/image_20_i.png,data/raw/part_20/1.png
data/train_data/images/image_21.png,data/raw/part_21/1.png
data/train_data/images/image_21_i.png,data/raw/part_21/1.png
data/train_data/images/image_22.png,data/raw/part_22/1.png
data/train_data/images/image_22_i.png,data/raw/part_22/1.png
data/train_data/images/image_23.png,data/raw/part_23/1.png
data/train_data/images/image_23_i.png,data/raw/part_23/1.png
data/train_data/images/image_23.png,data/raw/part_23/4.png
data/train_data/images/image_23_i.png,data/raw/part_23/4.png
data/train_data/images/image_24.png,data/raw/part_24/1.png
data/train_data/images/image_24_i.png,data/raw/part_24/1.png
data/train_data/images/image_24.png,data/raw/part_24/4.png
data/train_data/images/image_24_i.png,data/raw/part_24/4.png
data/train_data/images/image_25.png,data/raw/part_25/4.png
data/train_data/images/image_25_i.png,data/raw/part_25/4.png
data/train_data/images/image_26.png,data/raw/part_26/2.png
data/train_data/images/image_26_i.png,data/raw/part_26/2.png
data/train_data/images/image_26.png,data/raw/part_26/5.png
data/train_data/images/image_26_i.png,data/raw/part_26/5.png
data/train_data/images/image_27.png,data/raw/part_27/2.png
data/train_data/images/image_27_i.png,data/raw/part_27/2.png
